parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,logerror,transactiondate
11166049,1.0,,,2.0,4.0,,6.0,2.0,,,1360.0,1360.0,,,,,6037.0,,2.0,,,,2.0,34395532.0,-118542355.0,5211.0,,,,,,0100,261.0,SCUR2,60379203.312,54311.0,3101.0,48200.0,96378.0,0.0,,,,1.0,,,1972.0,,,145971.0,314856.0,2016.0,168885.0,4525.4,,,60379203312000.0,-0.0148110916718,2017-08-30
12184249,1.0,,,2.0,3.0,,4.0,2.0,,,1318.0,1318.0,,,,,6037.0,,2.0,,,,2.0,33983972.0,-118271296.0,5120.0,,,,,,0100,261.0,LAR2,60372392.023002,12447.0,3101.0,268496.0,95984.0,0.0,,,,1.0,,,1920.0,,,105000.0,319000.0,2016.0,214000.0,3972.73,,,60372392023002.0,-0.0828103651809,2017-06-06
12866487,1.0,,,2.0,2.0,,6.0,2.0,,,1070.0,1070.0,,,,,6037.0,,2.0,,,,2.0,34112827.0,-117701227.0,3924.0,,,,,,010D,269.0,CLRM*,60374018.001018,30908.0,3101.0,764134.0,96469.0,0.0,,,,1.0,,,1981.0,,,168142.0,252209.0,2016.0,84067.0,3241.94,,,60374018001018.0,0.0134252154759,2017-03-31
11838787,1.0,,,2.0,2.0,,6.0,2.0,,,1294.0,1294.0,,,,,6037.0,,2.0,,,,2.0,34047300.0,-118141000.0,147984.0,1.0,,,,1.0,010C,266.0,MPR3*,60374820.02300601,6021.0,3101.0,,96496.0,0.0,,,,1.0,,,1968.0,,,124515.0,291263.0,2016.0,166748.0,3800.36,,,60374820023006.0,0.00325928387852,2017-03-31
13873331,5.0,,,2.0,2.0,,,2.0,,,982.0,982.0,,,,,6059.0,,2.0,1.0,360.0,,7.0,33873594.0,-117936363.0,6217.0,,,,,,122,261.0,,60590112.004003,24812.0,1286.0,,97040.0,5.0,,,,,,,1929.0,1.0,,48151.0,548235.0,2016.0,500084.0,6285.14,,,60590112004003.0,-0.0186048093182,2017-01-05
12203895,9.0,,,5.0,9.0,,8.0,5.0,,,2761.0,,,2761.0,,,6037.0,,5.0,,,,,33972043.0,-118274649.0,5183.0,,,,,,0200,246.0,LAR2,60372396.012005,12447.0,3101.0,268496.0,95984.0,0.0,,,,2.0,,,2011.0,,,205628.0,530305.0,2016.0,324677.0,6558.95,,,60372396012005.0,0.00823213158441,2017-05-15
12507103,1.0,,,2.0,2.0,,8.0,2.0,,,1037.0,1037.0,,,,,6037.0,,2.0,,,,2.0,33798800.0,-118170000.0,36853.0,,,,,,010C,266.0,SHR3*,60375734.02200601,27103.0,3101.0,,96234.0,0.0,,,,1.0,,,1980.0,,,101525.0,126834.0,2016.0,25309.0,1798.5,,,60375734022006.0,0.048601111836400014,2017-08-11
14415784,13.0,,,2.0,2.0,,,2.0,,,1406.0,1406.0,,,,,6059.0,1.0,2.0,2.0,479.0,,,33547771.0,-117692770.0,6500.0,,,,,,122,261.0,,60590423.36200301,25459.0,1286.0,,96987.0,6.0,,,,,,,1986.0,1.0,,144722.0,294694.0,2016.0,149972.0,2929.98,,,60590423362003.0,-0.239063456081,2017-04-10
12062319,1.0,,,1.0,1.0,,8.0,1.0,,,726.0,726.0,,,,,6037.0,,1.0,,,,2.0,34150100.0,-118261000.0,19842.0,,,,,,010E,266.0,GLR4*,60373018.02200501,45457.0,3101.0,275884.0,96322.0,0.0,,,,1.0,,,1979.0,,,97901.0,216471.0,2016.0,118570.0,2405.25,,,60373018022005.0,0.00212752380331,2017-05-16
11539178,1.0,,,2.0,0.0,,7.0,2.0,,,1250.0,1250.0,,,,,6037.0,,2.0,,,,2.0,33992000.0,-118442000.0,,,,,,,010C,266.0,LACM(GM),60372754.00200301,12447.0,3101.0,403184.0,96128.0,0.0,,,,1.0,,,2007.0,,,252427.0,720113.0,2016.0,467686.0,8699.7,,,60372754002003.0,-0.0288936330743,2017-05-11
11151177,1.0,,,3.0,3.0,,7.0,3.0,,,2871.0,2871.0,,,,,6037.0,,3.0,,,,2.0,34403080.0,-118445280.0,5696.0,,,,,,0100,261.0,SCSP,60379200.43101601,54311.0,3101.0,37739.0,96401.0,0.0,,,,1.0,,,2004.0,,,279000.0,588000.0,2016.0,309000.0,10145.7,,,60379200431016.0,0.0100503421738,2017-08-31
11266267,1.0,,,2.0,3.0,,8.0,2.0,,,1823.0,1823.0,,,,,6037.0,,2.0,,,,2.0,34666195.0,-118213331.0,54266.0,1.0,,,,1.0,0103,261.0,LCA110000*,60379011.023009,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,1974.0,,,196271.0,261693.0,2016.0,65422.0,3279.44,,,60379011023009.0,-0.200169200447,2017-04-21
12776394,1.0,,,2.0,3.0,,8.0,2.0,,,1222.0,1222.0,,,,,6037.0,,2.0,,,,2.0,34018727.0,-118075329.0,5779.0,,,,,,010D,269.0,PRSF*,60375004.044001,26483.0,3101.0,,96197.0,0.0,,,,1.0,,,1984.0,,,155902.0,208038.0,2016.0,52136.0,2852.64,,,60375004044001.0,0.0236670900231,2017-08-29
12435311,1.0,,,1.0,3.0,,6.0,1.0,,,1242.0,1242.0,,,,,6037.0,,1.0,,,,2.0,33820681.0,-118097429.0,5099.0,,,,,,0100,261.0,LBR1N,60375738.002009,46298.0,3101.0,276606.0,96242.0,0.0,,,,1.0,,,1953.0,,,113178.0,354282.0,2016.0,241104.0,4294.83,,,60375738002009.0,-0.049974710715,2017-08-25
11301286,1.0,,,3.0,4.0,,8.0,3.0,,,1804.0,1804.0,,,,,6037.0,,3.0,,,,2.0,34691967.0,-118085851.0,6889.0,,,,,,0100,261.0,LRA22*,60379006.052014,5534.0,3101.0,,97318.0,0.0,,,,1.0,,,1989.0,,,100891.0,126141.0,2016.0,25250.0,2746.33,,,60379006052014.0,0.0317897892447,2017-02-09
11093442,1.0,,,3.0,3.0,,7.0,3.0,,,2518.0,2518.0,,,,,6037.0,,3.0,,,,2.0,34228849.0,-118512889.0,10181.0,,,,,,0100,261.0,LARA,60371151.013012,12447.0,3101.0,33183.0,96355.0,0.0,,,,1.0,,,1964.0,,,278101.0,466146.0,2016.0,188045.0,5787.74,,,60371151013012.0,-0.0370753562797,2017-03-20
10845157,1.0,,,2.0,2.0,,8.0,2.0,,,1172.0,1172.0,,,,,6037.0,,2.0,,,,2.0,34169200.0,-118446000.0,56741.0,1.0,,,,1.0,010C,266.0,LAR3,60371285.002022,12447.0,3101.0,27080.0,96410.0,0.0,,,,1.0,,,1989.0,,,162468.0,354377.0,2016.0,191909.0,4240.66,,,60371285002022.0,-0.0107176645406,2017-06-22
11658943,1.0,,,8.0,6.0,,,8.0,,,8315.0,8315.0,,,,,6037.0,,8.0,,,,2.0,34066742.0,-118485270.0,20034.0,1.0,,,,1.0,0101,261.0,LARE15,60372623.03100699,12447.0,3101.0,113910.0,96030.0,0.0,,,,1.0,,,2010.0,,,811695.0,8387524.0,2016.0,7575829.0,100671.89,,,60372623031007.0,0.0086694718179,2017-06-16
10753583,1.0,,,4.0,4.0,,7.0,4.0,,,3053.0,3053.0,,,,,6037.0,,4.0,,,,2.0,34145112.0,-118642000.0,11849.0,1.0,,,,1.0,0101,261.0,LCR110000*,60378002.042018,37688.0,3101.0,762527.0,96337.0,0.0,,,,1.0,,,1970.0,,,351978.0,1292346.0,2016.0,940368.0,15635.28,,,60378002042018.0,0.0506877703851,2017-08-01
10746399,1.0,,,5.0,5.0,,9.0,5.0,,,3605.0,3605.0,,,,,6037.0,,5.0,,,,2.0,34135986.0,-118818891.0,16953.0,,,,,,010D,269.0,WVR115000*,60378003.26104201,41673.0,3101.0,,96384.0,0.0,,,,1.0,,,1996.0,,,444390.0,934180.0,2016.0,489790.0,10808.87,,,60378003261042.0,-0.050029572618000014,2017-04-03
10984810,1.0,,,3.0,4.0,,8.0,3.0,,,1575.0,1575.0,,,,,6037.0,,3.0,,,,2.0,34277783.0,-118398689.0,,,,,,,010D,269.0,LARD2,60371041.051011,12447.0,3101.0,40215.0,96361.0,0.0,,,,1.0,,,2012.0,,,222714.0,307284.0,2016.0,84570.0,3703.46,,,60371041051011.0,-0.0186063509613,2017-02-28
11625908,1.0,,,4.0,5.0,,7.0,4.0,,,2951.0,2951.0,,,,,6037.0,,4.0,,,,2.0,34061321.0,-118396330.0,6069.0,1.0,,,,1.0,0101,261.0,BHR1YY,60377009.02300601,10389.0,3101.0,,96088.0,0.0,,,,1.0,,,1934.0,,,570773.0,2604115.0,2016.0,2033342.0,30329.76,,,60377009023006.0,0.015724059798,2017-01-24
14216913,13.0,,,3.0,4.0,,,3.0,,,2722.0,2722.0,,,,,6059.0,,3.0,2.0,609.0,,,33837481.0,-117795531.0,22875.0,,,,,,122,261.0,,60590219.162008,16764.0,1286.0,113455.0,97026.0,8.0,,,,,,,1984.0,2.0,,292405.0,464567.0,2016.0,172162.0,5073.08,,,60590219162008.0,0.511324699575,2017-03-30
11567242,1.0,,,3.0,3.0,,9.0,3.0,,,1545.0,1545.0,,,,,6037.0,,3.0,,,,2.0,34042300.0,-118464000.0,6877.0,,,,,,010E,266.0,LAR3,60372674.021016,12447.0,3101.0,117954.0,96006.0,0.0,,,,1.0,,,1988.0,,,277815.0,533010.0,2016.0,255195.0,6465.73,,,60372674021016.0,0.0331086394641,2017-05-02
11172441,1.0,,,2.0,2.0,,6.0,2.0,,,1332.0,1332.0,,,,,6037.0,,2.0,,,,2.0,34406642.0,-118472497.0,886794.0,,,,,,010C,266.0,SCUR3,60379200.312,54311.0,3101.0,26134.0,96352.0,0.0,,,,1.0,,,1969.0,,,51336.0,80513.0,2016.0,29177.0,1495.16,,,60379200312000.0,0.0419444304588,2017-02-01
14606622,1.0,,,2.5,3.0,,,2.5,,,1192.0,1192.0,,,,,6059.0,,2.0,1.0,0.0,,6.0,33841000.0,-117946000.0,,1.0,,,,1.0,34,266.0,,60590867.02200601,16764.0,1286.0,274800.0,97020.0,5.0,,1.0,,,,,1964.0,2.0,True,72330.0,269238.0,2016.0,196908.0,3354.48,,,60590867022006.0,0.0324404775382,2017-06-14
11887798,1.0,,,5.0,5.0,,9.0,5.0,,,3489.0,3489.0,,,,,6037.0,,5.0,,,,2.0,34124169.0,-118134187.0,12032.0,1.0,,,,1.0,0101,261.0,PSR2,60374640.00100301,47019.0,3101.0,275405.0,96294.0,0.0,,,,1.0,,,1922.0,,,717780.0,2641794.0,2016.0,1924014.0,30034.95,,,60374640001003.0,0.110943660654,2017-04-28
11013292,1.0,,,2.0,2.0,,8.0,2.0,,,1220.0,1220.0,,,,,6037.0,,2.0,,,,2.0,34284600.0,-118470000.0,,1.0,,,,1.0,012C,266.0,LARD2,60371092.003002,12447.0,3101.0,31817.0,96370.0,0.0,,,,1.0,,,2011.0,,,276918.0,356495.0,2016.0,79577.0,4351.39,,,60371092003002.0,-0.034317391568200004,2017-08-24
10982609,1.0,,,3.0,4.0,,8.0,3.0,,,2515.0,2515.0,,,,,6037.0,,3.0,,,,2.0,34286013.0,-118395700.0,284574.0,,,,,,010D,269.0,LARD6,60371042.042026,12447.0,3101.0,268249.0,96368.0,0.0,,,,1.0,,,2008.0,,,268000.0,447000.0,2016.0,179000.0,5437.85,,,60371042042026.0,0.0224675606536,2017-08-01
11902546,1.0,,,2.0,2.0,,6.0,2.0,,,1109.0,1109.0,,,,,6037.0,,2.0,,,,2.0,34079900.0,-118115000.0,474206.0,,,,,,010C,266.0,ALRPD*,60374815.00100301,50677.0,3101.0,,96531.0,0.0,,,,1.0,,,1963.0,,,76496.0,109267.0,2016.0,32771.0,1499.75,,,60374815001003.0,0.0334563138109,2017-05-02
10828601,1.0,,,3.0,4.0,,8.0,3.0,,,2337.0,2337.0,,,,,6037.0,,3.0,,,,2.0,34206389.0,-118450414.0,6359.0,,,,,,0100,261.0,LAR1,60371272.201001,12447.0,3101.0,41466.0,96414.0,0.0,,,,1.0,,,1959.0,,,243719.0,395764.0,2016.0,152045.0,4899.6,,,60371272201001.0,-0.004393824864319999,2017-06-29
10799669,1.0,,,3.0,2.0,,7.0,3.0,,,1512.0,1512.0,,,,,6037.0,,3.0,,,,2.0,34174200.0,-118532000.0,197423.0,1.0,,,,1.0,010C,266.0,LAR3,60371393.032,12447.0,3101.0,47950.0,96379.0,0.0,,,,1.0,,,1975.0,,,188489.0,353677.0,2016.0,165188.0,4265.06,,,60371393032000.0,2.30396953634e-05,2017-08-31
13042148,1.0,,,2.0,4.0,,8.0,2.0,,,1664.0,1664.0,,,,,6037.0,,2.0,,,,2.0,34132671.0,-117838859.0,8241.0,,,,,,0100,261.0,GDE4,60374004.02200601,11626.0,3101.0,,96486.0,0.0,,,,1.0,,,1976.0,,,81795.0,104970.0,2016.0,23175.0,1541.48,,,60374004022006.0,0.0234414680598,2017-03-31
10982486,1.0,,,2.0,3.0,,8.0,2.0,,,1132.0,1132.0,,,,,6037.0,,2.0,,,,2.0,34282796.0,-118380696.0,5499.0,,,,,,0100,261.0,LAR1,60371041.242013,12447.0,3101.0,268249.0,96368.0,0.0,,,,1.0,,,1985.0,,,108072.0,226979.0,2016.0,118907.0,2796.49,,,60371041242013.0,0.0480332583992,2017-08-18
12145349,1.0,,,2.0,3.0,,6.0,2.0,,,1893.0,1893.0,,,,,6037.0,,2.0,,,,2.0,34112176.0,-118034310.0,7410.0,,,,,,0100,261.0,ARR1YY,60374316.001001,50749.0,3101.0,,96268.0,0.0,,,,1.0,,,1951.0,,,214162.0,559712.0,2016.0,345550.0,6623.6,,,60374316001001.0,0.0232814398234,2017-07-14
12263651,1.0,,,3.0,3.0,,6.0,3.0,,,1419.0,1419.0,,,,,6037.0,,3.0,,,,2.0,33887589.0,-118237284.0,110494.0,1.0,,,,1.0,010C,266.0,CORH*,60375432.01100001,24174.0,3101.0,,96090.0,0.0,,,,1.0,,,1985.0,,,129600.0,209000.0,2016.0,79400.0,3575.72,,,60375432011000.0,0.128317087534,2017-04-21
11620369,1.0,,,3.0,2.0,,9.0,3.0,,,2213.0,2213.0,,,,,6037.0,,3.0,,,,2.0,34065700.0,-118430000.0,43007.0,1.0,,,,1.0,010C,266.0,LAR5,60372657.001004,12447.0,3101.0,118920.0,96005.0,0.0,,,,1.0,,,1982.0,,,328630.0,1169409.0,2016.0,840779.0,13989.18,Y,15.0,60372657001004.0,0.0423799891099,2017-02-23
11194284,1.0,,,3.0,4.0,,8.0,3.0,,,2256.0,2256.0,,,,,6037.0,,3.0,,,,2.0,34602474.0,-118136703.0,8483.0,,,,,,0100,261.0,PDR1*,60379102.01104499,40227.0,3101.0,,97329.0,0.0,,,,1.0,,,1983.0,,,161378.0,201720.0,2016.0,40342.0,3317.58,,,60379102011045.0,0.0113006022541,2017-07-18
11899204,1.0,,,2.0,2.0,,4.0,2.0,,,888.0,888.0,,,,,6037.0,,2.0,,,,2.0,34091630.0,-118118002.0,6187.0,,,,,,0100,261.0,ALRPD*,60374810.02200601,50677.0,3101.0,,96531.0,0.0,,,,1.0,,,1946.0,,,82385.0,411707.0,2016.0,329322.0,4917.33,,,60374810022006.0,-0.0213783433346,2017-04-20
11156181,1.0,,,3.0,4.0,,8.0,3.0,,,1722.0,1722.0,,,,,6037.0,,3.0,,,,2.0,34408605.0,-118447402.0,78380.0,,,,,,010D,269.0,SCSP,60379200.42200101,54311.0,3101.0,37739.0,96401.0,0.0,,,,1.0,,,2003.0,,,203050.0,393917.0,2016.0,190867.0,5163.28,,,60379200422002.0,0.0139689546125,2017-04-12
10929172,1.0,,,2.0,3.0,,8.0,2.0,,,2160.0,2160.0,,,,,6037.0,,2.0,,,,2.0,34162663.0,-118361408.0,7999.0,,,,,,0100,261.0,LAR1,60371255.012008,12447.0,3101.0,27431.0,96446.0,0.0,,,,1.0,,,1947.0,,,142970.0,304825.0,2016.0,161855.0,3739.22,,,60371255012008.0,0.00315045588243,2017-02-15
12860869,1.0,,,3.0,2.0,,8.0,3.0,,,1466.0,1466.0,,,,,6037.0,,3.0,,,,2.0,33999800.0,-117818000.0,70159.0,,,,,,010C,266.0,LCRPD80009,60374033.233012,24384.0,3101.0,,96505.0,0.0,,,,1.0,,,1986.0,,,170000.0,495000.0,2016.0,325000.0,5767.65,,,60374033233012.0,0.00574221371164,2017-03-15
14632242,1.0,,,2.0,2.0,,,2.0,,,1258.0,1258.0,,,,,6059.0,,2.0,2.0,0.0,,24.0,33505377.0,-117718906.0,,,,,,,34,266.0,,60590423.173004,25459.0,1286.0,,96987.0,5.0,,,,,,,1971.0,1.0,,125400.0,350142.0,2016.0,224742.0,3487.12,,,60590423173004.0,0.00859621383966,2017-06-01
13879720,13.0,,,2.0,3.0,,,2.0,,,1247.0,1247.0,,,,,6059.0,,2.0,1.0,360.0,,,33841500.0,-117893087.0,7845.0,,,,,,122,261.0,,60590864.054002,16764.0,1286.0,274765.0,97024.0,6.0,,,,,,,1947.0,1.0,,75010.0,362305.0,2016.0,287295.0,4321.98,,,60590864054002.0,-0.029506105973,2017-09-14
11132771,1.0,,,3.0,3.0,,7.0,3.0,,,2654.0,2654.0,,,,,6037.0,,3.0,,,,2.0,34382725.0,-118584111.0,5506.0,1.0,,,,1.0,010D,269.0,LCA25*,60379203.38102,,3101.0,,96395.0,0.0,,,,1.0,,,1989.0,,,340069.0,693807.0,2016.0,353738.0,9504.85,,,60379203381020.0,0.0311137501278,2017-05-10
14378276,13.0,,,2.0,3.0,,,2.0,,,1540.0,1540.0,,,,,6059.0,,2.0,2.0,460.0,,,33627504.0,-117708364.0,4576.0,,,,,,122,261.0,,60590524.10301,32380.0,1286.0,,96962.0,7.0,,,,,,,1972.0,2.0,,91888.0,544427.0,2016.0,452539.0,5755.08,,,60590524103010.0,0.140273993295,2017-06-20
11317801,1.0,,,4.0,5.0,,7.0,4.0,,,3090.0,3090.0,,,,,6037.0,,4.0,,,,2.0,34679692.0,-118232470.0,7500.0,,,,,,0100,261.0,LRR7000*,60379010.043066,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,2004.0,,,267600.0,326000.0,2016.0,58400.0,4733.13,,,60379010043066.0,-0.00129091515291,2017-08-18
10862245,1.0,,,11.0,10.0,,,11.0,,,17245.0,17245.0,,,,,6037.0,,11.0,,,,2.0,34131867.0,-118440806.0,182380.0,1.0,,,,1.0,0101,261.0,LAA1,60371417.002,12447.0,3101.0,27080.0,96086.0,0.0,,,,1.0,,,1992.0,,,6932495.0,7924751.0,2016.0,992256.0,95561.62,,,60371417002000.0,0.124167177054,2017-08-30
12758544,1.0,,,1.0,2.0,,4.0,1.0,,,1104.0,1104.0,,,,,6037.0,,1.0,,,,2.0,33890469.0,-118092288.0,3486.0,,,,,,0100,261.0,NOR1*,60375529.005002,53636.0,3101.0,,96193.0,0.0,,,,1.0,,,1967.0,,,122710.0,352080.0,2016.0,229370.0,4585.39,,,60375529005002.0,-0.08807537217289997,2017-06-30
11922227,1.0,,,2.0,3.0,,9.0,2.0,,,1830.0,1830.0,,,,,6037.0,,2.0,,,,2.0,34130900.0,-118072000.0,,,,,,,010C,266.0,LCR305,60374631.012018,114834.0,3101.0,,96295.0,0.0,,,,1.0,,,2009.0,,,195179.0,522300.0,2016.0,327121.0,6281.65,,,60374631012018.0,0.0340643905914,2017-03-29
11688970,1.0,,,2.0,4.0,,9.0,2.0,,,1620.0,1620.0,,,,,6037.0,,2.0,,,,2.0,34037501.0,-118865553.0,8353.0,,,,,,0100,261.0,LCR17500*,60378004.06200401,12520.0,3101.0,,96116.0,0.0,,,,1.0,,,1979.0,,,613596.0,1470281.0,2016.0,856685.0,19559.31,,,60378004062004.0,0.049822593439999986,2017-02-22
11746871,1.0,,,2.0,3.0,,7.0,2.0,,,1360.0,1360.0,,,,,6037.0,,2.0,,,,2.0,34066100.0,-118289000.0,10762.0,,,,,,010C,266.0,LAR4,60372111.202003,12447.0,3101.0,268236.0,96001.0,0.0,,,,1.0,,,2007.0,,,236289.0,348925.0,2016.0,112636.0,4255.52,,,60372111202003.0,-0.0447825835709,2017-06-22
10740957,1.0,,,3.0,4.0,,8.0,3.0,,,1972.0,1972.0,,,,,6037.0,,3.0,,,,2.0,34153038.0,-118763114.0,5437.0,,,,,,010D,269.0,AHRPD70005,60378003.24100601,9840.0,3101.0,764090.0,96336.0,0.0,,,,1.0,,,1969.0,,,167241.0,507726.0,2016.0,340485.0,6002.64,Y,14.0,60378003241006.0,0.0147830062586,2017-06-19
12051228,1.0,,,2.0,2.0,,8.0,2.0,,,1255.0,1255.0,,,,,6037.0,,2.0,,,,2.0,34181300.0,-118297000.0,16920.0,1.0,,,,1.0,010C,266.0,BUR4*,60373107.031001,396054.0,3101.0,,96433.0,0.0,,,,1.0,,,1978.0,,,181321.0,388324.0,2016.0,207003.0,4324.52,Y,14.0,60373107031001.0,-0.016201847839,2017-05-31
14445501,13.0,,,3.0,3.0,,,3.0,,,2637.0,2637.0,,,,,6059.0,,3.0,2.0,483.0,,,33419338.0,-117592350.0,7200.0,1.0,,,,1.0,122,261.0,,60590421.143003,13693.0,1286.0,,96982.0,8.0,,,,,,,1980.0,2.0,,257051.0,1170960.0,2016.0,913909.0,11798.7,,,60590421143003.0,0.08698581220979999,2017-04-20
11100134,1.0,,,3.0,3.0,,8.0,3.0,,,1576.0,1576.0,,,,,6037.0,,3.0,,,,2.0,34234500.0,-118548000.0,238659.0,1.0,,,,1.0,010C,266.0,LARD2,60371153.012012,12447.0,3101.0,33183.0,96354.0,0.0,,,,1.0,,,1979.0,,,156752.0,320902.0,2016.0,164150.0,3966.04,,,60371153012012.0,0.0141520367265,2017-07-14
10854576,1.0,,,5.0,4.0,,9.0,5.0,,,3382.0,3382.0,,,,,6037.0,,5.0,,,,2.0,34160105.0,-118479286.0,9651.0,,,,,,0100,261.0,LARE9,60371414.00301,12447.0,3101.0,51906.0,96426.0,0.0,,,,1.0,,,1989.0,,,499780.0,1134753.0,2016.0,634973.0,13719.37,,,60371414003010.0,-0.0526255884601,2017-02-16
